Effect,set,media,pair_id,Estimate,StdErr,DF,tValue,Probt,Mu,StdErrMu,Alpha,Lower,Upper,LowerMu,UpperMu
pair_id,,,9,-1.1977,0.01041,1922,-115.08,<.0001,0.3019,0.003142,0.05,-1.2181,-1.1773,0.2958,0.3081
set*pair_id,set1,,1,-1.2155,0.04046,1922,-30.04,<.0001,0.2966,0.01200,0.05,-1.2948,-1.1361,0.2739,0.3211
set*pair_id,set1,,2,-1.3427,0.02128,1922,-63.10,<.0001,0.2611,0.005557,0.05,-1.3845,-1.3010,0.2505,0.2723
set*pair_id,set1,,3,-1.5563,0.02128,1922,-73.14,<.0001,0.2109,0.004488,0.05,-1.5981,-1.5146,0.2023,0.2199
set*pair_id,set1,,4,-1.6920,0.04679,1922,-36.16,<.0001,0.1842,0.008618,0.05,-1.7837,-1.6002,0.1680,0.2019
set*pair_id,set1,,6,-1.8550,0.06065,1922,-30.58,<.0001,0.1565,0.009490,0.05,-1.9739,-1.7360,0.1389,0.1762
set*pair_id,set1,,7,-1.6245,0.02128,1922,-76.34,<.0001,0.1970,0.004192,0.05,-1.6662,-1.5827,0.1890,0.2054
set*pair_id,set1,,8,-1.3130,0.02128,1922,-61.70,<.0001,0.2690,0.005724,0.05,-1.3547,-1.2713,0.2580,0.2805
set*pair_id,set1,,9,-1.1781,0.02128,1922,-55.36,<.0001,0.3079,0.006551,0.05,-1.2198,-1.1364,0.2953,0.3210
set*pair_id,set2,,1,-1.1308,0.04200,1922,-26.93,<.0001,0.3228,0.01356,0.05,-1.2132,-1.0484,0.2973,0.3505
set*pair_id,set2,,2,-1.2563,0.009315,1922,-134.87,<.0001,0.2847,0.002652,0.05,-1.2745,-1.2380,0.2796,0.2900
set*pair_id,set2,,3,-1.5278,0.009315,1922,-164.01,<.0001,0.2170,0.002022,0.05,-1.5460,-1.5095,0.2131,0.2210
set*pair_id,set2,,4,-1.7009,0.03939,1922,-43.18,<.0001,0.1825,0.007190,0.05,-1.7781,-1.6236,0.1690,0.1972
set*pair_id,set2,,6,-1.7549,0.07700,1922,-22.79,<.0001,0.1729,0.01331,0.05,-1.9059,-1.6039,0.1487,0.2011
set*pair_id,set2,,7,-1.4784,0.009315,1922,-158.71,<.0001,0.2280,0.002124,0.05,-1.4966,-1.4601,0.2239,0.2322
set*pair_id,set2,,8,-1.3519,0.009315,1922,-145.13,<.0001,0.2587,0.002410,0.05,-1.3702,-1.3336,0.2541,0.2635
set*pair_id,set2,,9,-1.2173,0.009315,1922,-130.68,<.0001,0.2960,0.002757,0.05,-1.2356,-1.1990,0.2907,0.3015
media*pair_id,,2dd,1,-0.9279,0.06931,1922,-13.39,<.0001,0.3954,0.02740,0.05,-1.0638,-0.7920,0.3451,0.4529
media*pair_id,,2dd,2,-1.1270,0.03122,1922,-36.09,<.0001,0.3240,0.01012,0.05,-1.1882,-1.0657,0.3048,0.3445
media*pair_id,,2dd,3,-1.4470,0.03122,1922,-46.34,<.0001,0.2353,0.007346,0.05,-1.5083,-1.3858,0.2213,0.2501
media*pair_id,,2dd,4,-1.5805,0.1240,1922,-12.74,<.0001,0.2059,0.02553,0.05,-1.8238,-1.3373,0.1614,0.2626
media*pair_id,,2dd,6,-1.6507,0.2044,1922,-8.08,<.0001,0.1919,0.03923,0.05,-2.0515,-1.2498,0.1285,0.2866
media*pair_id,,2dd,7,-1.4590,0.03122,1922,-46.73,<.0001,0.2325,0.007258,0.05,-1.5203,-1.3978,0.2187,0.2471
media*pair_id,,2dd,8,-1.1732,0.03122,1922,-37.57,<.0001,0.3094,0.009660,0.05,-1.2344,-1.1119,0.2910,0.3289
media*pair_id,,2dd,9,-1.0217,0.03122,1922,-32.72,<.0001,0.3600,0.01124,0.05,-1.0830,-0.9605,0.3386,0.3827
media*pair_id,,3dd,1,-1.2659,0.03114,1922,-40.65,<.0001,0.2820,0.008782,0.05,-1.3270,-1.2048,0.2653,0.2997
media*pair_id,,3dd,2,-1.3780,0,1922,M,<.0001,0.2521,0,,,,,
media*pair_id,,3dd,3,-1.5166,0,1922,M,<.0001,0.2195,0,,,,,
media*pair_id,,3dd,4,-1.6904,0,1922,M,<.0001,0.1845,0,,,,,
media*pair_id,,3dd,6,-1.8683,0,1922,M,<.0001,0.1544,0,,,,,
media*pair_id,,3dd,7,-1.5597,0,1922,M,<.0001,0.2102,0,,,,,
media*pair_id,,3dd,8,-1.5056,0,1922,M,<.0001,0.2219,0,,,,,
media*pair_id,,3dd,9,-1.2391,0,1922,M,<.0001,0.2897,0,,,,,
media*pair_id,,3dp,1,-1.3256,0.03114,1922,-42.57,<.0001,0.2656,0.008273,0.05,-1.3867,-1.2645,0.2499,0.2824
media*pair_id,,3dp,2,-1.3935,0,1922,M,<.0001,0.2482,0,,,,,
media*pair_id,,3dp,3,-1.6626,0,1922,M,<.0001,0.1897,0,,,,,
media*pair_id,,3dp,4,-1.8183,0,1922,M,<.0001,0.1623,0,,,,,
media*pair_id,,3dp,6,-1.8959,0,1922,M,<.0001,0.1502,0,,,,,
media*pair_id,,3dp,7,-1.6356,0,1922,M,<.0001,0.1948,0,,,,,
media*pair_id,,3dp,8,-1.3186,0,1922,M,<.0001,0.2675,0,,,,,
media*pair_id,,3dp,9,-1.3323,0,1922,M,<.0001,0.2639,0,,,,,
set*media*pair_id,set1,2dd,1,-0.9168,0.08191,1922,-11.19,<.0001,0.3998,0.03275,0.05,-1.0774,-0.7561,0.3405,0.4695
set*media*pair_id,set1,2dd,2,-1.1672,0.06384,1922,-18.28,<.0001,0.3112,0.01987,0.05,-1.2924,-1.0420,0.2746,0.3528
set*media*pair_id,set1,2dd,3,-1.3338,0.06384,1922,-20.89,<.0001,0.2635,0.01682,0.05,-1.4590,-1.2086,0.2325,0.2986
set*media*pair_id,set1,2dd,4,-1.5662,0.1404,1922,-11.16,<.0001,0.2088,0.02932,0.05,-1.8416,-1.2909,0.1586,0.2750
set*media*pair_id,set1,2dd,6,-1.7704,0.1820,1922,-9.73,<.0001,0.1703,0.03098,0.05,-2.1272,-1.4135,0.1192,0.2433
set*media*pair_id,set1,2dd,7,-1.5483,0.06384,1922,-24.25,<.0001,0.2126,0.01357,0.05,-1.6735,-1.4231,0.1876,0.2410
set*media*pair_id,set1,2dd,8,-1.1205,0.06384,1922,-17.55,<.0001,0.3261,0.02082,0.05,-1.2457,-0.9953,0.2877,0.3696
set*media*pair_id,set1,2dd,9,-1.0242,0.06384,1922,-16.04,<.0001,0.3591,0.02292,0.05,-1.1494,-0.8990,0.3168,0.4070
set*media*pair_id,set1,3dd,1,-1.3555,0.03114,1922,-43.53,<.0001,0.2578,0.008029,0.05,-1.4166,-1.2944,0.2425,0.2741
set*media*pair_id,set1,3dd,2,-1.4088,0,1922,M,<.0001,0.2444,0,,,,,
set*media*pair_id,set1,3dd,3,-1.5734,0,1922,M,<.0001,0.2073,0,,,,,
set*media*pair_id,set1,3dd,4,-1.7557,0,1922,M,<.0001,0.1728,0,,,,,
set*media*pair_id,set1,3dd,6,-1.9220,0,1922,M,<.0001,0.1463,0,,,,,
set*media*pair_id,set1,3dd,7,-1.6056,0,1922,M,<.0001,0.2008,0,,,,,
set*media*pair_id,set1,3dd,8,-1.5097,0,1922,M,<.0001,0.2210,0,,,,,
set*media*pair_id,set1,3dd,9,-1.1834,0,1922,M,<.0001,0.3062,0,,,,,
set*media*pair_id,set1,3dp,1,-1.3742,0.03114,1922,-44.13,<.0001,0.2531,0.007881,0.05,-1.4352,-1.3131,0.2381,0.2690
set*media*pair_id,set1,3dp,2,-1.4522,0,1922,M,<.0001,0.2341,0,,,,,
set*media*pair_id,set1,3dp,3,-1.7618,0,1922,M,<.0001,0.1717,0,,,,,
set*media*pair_id,set1,3dp,4,-1.7540,0,1922,M,<.0001,0.1731,0,,,,,
set*media*pair_id,set1,3dp,6,-1.8725,0,1922,M,<.0001,0.1537,0,,,,,
set*media*pair_id,set1,3dp,7,-1.7195,0,1922,M,<.0001,0.1792,0,,,,,
set*media*pair_id,set1,3dp,8,-1.3088,0,1922,M,<.0001,0.2701,0,,,,,
set*media*pair_id,set1,3dp,9,-1.3266,0,1922,M,<.0001,0.2654,0,,,,,
set*media*pair_id,set2,2dd,1,-0.9390,0.07618,1922,-12.33,<.0001,0.3910,0.02979,0.05,-1.0884,-0.7896,0.3367,0.4540
set*media*pair_id,set2,2dd,2,-1.0867,0.02794,1922,-38.89,<.0001,0.3373,0.009426,0.05,-1.1415,-1.0319,0.3193,0.3563
set*media*pair_id,set2,2dd,3,-1.5603,0.02794,1922,-55.84,<.0001,0.2101,0.005870,0.05,-1.6151,-1.5055,0.1989,0.2219
set*media*pair_id,set2,2dd,4,-1.5948,0.1182,1922,-13.50,<.0001,0.2029,0.02398,0.05,-1.8266,-1.3631,0.1610,0.2559
set*media*pair_id,set2,2dd,6,-1.5309,0.2310,1922,-6.63,<.0001,0.2163,0.04997,0.05,-1.9840,-1.0779,0.1375,0.3403
set*media*pair_id,set2,2dd,7,-1.3698,0.02794,1922,-49.02,<.0001,0.2542,0.007103,0.05,-1.4246,-1.3150,0.2406,0.2685
set*media*pair_id,set2,2dd,8,-1.2258,0.02794,1922,-43.87,<.0001,0.2935,0.008202,0.05,-1.2806,-1.1710,0.2779,0.3100
set*media*pair_id,set2,2dd,9,-1.0192,0.02794,1922,-36.47,<.0001,0.3609,0.01008,0.05,-1.0740,-0.9644,0.3416,0.3812
set*media*pair_id,set2,3dd,1,-1.1763,0.03114,1922,-37.77,<.0001,0.3084,0.009605,0.05,-1.2374,-1.1152,0.2902,0.3278
set*media*pair_id,set2,3dd,2,-1.3472,0,1922,M,<.0001,0.2600,0,,,,,
set*media*pair_id,set2,3dd,3,-1.4597,0,1922,M,<.0001,0.2323,0,,,,,
set*media*pair_id,set2,3dd,4,-1.6251,0,1922,M,<.0001,0.1969,0,,,,,
set*media*pair_id,set2,3dd,6,-1.8146,0,1922,M,<.0001,0.1629,0,,,,,
set*media*pair_id,set2,3dd,7,-1.5137,0,1922,M,<.0001,0.2201,0,,,,,
set*media*pair_id,set2,3dd,8,-1.5015,0,1922,M,<.0001,0.2228,0,,,,,
set*media*pair_id,set2,3dd,9,-1.2947,0,1922,M,<.0001,0.2740,0,,,,,
set*media*pair_id,set2,3dp,1,-1.2771,0.03114,1922,-41.01,<.0001,0.2788,0.008684,0.05,-1.3382,-1.2160,0.2623,0.2964
set*media*pair_id,set2,3dp,2,-1.3348,0,1922,M,<.0001,0.2632,0,,,,,
set*media*pair_id,set2,3dp,3,-1.5633,0,1922,M,<.0001,0.2094,0,,,,,
set*media*pair_id,set2,3dp,4,-1.8827,0,1922,M,<.0001,0.1522,0,,,,,
set*media*pair_id,set2,3dp,6,-1.9192,0,1922,M,<.0001,0.1467,0,,,,,
set*media*pair_id,set2,3dp,7,-1.5516,0,1922,M,<.0001,0.2119,0,,,,,
set*media*pair_id,set2,3dp,8,-1.3283,0,1922,M,<.0001,0.2649,0,,,,,
set*media*pair_id,set2,3dp,9,-1.3380,0,1922,M,<.0001,0.2624,0,,,,,
