Effect,set,media,pair_id,Estimate,StdErr,DF,tValue,Probt,Mu,StdErrMu,Alpha,Lower,Upper,LowerMu,UpperMu
set*media*pair_id,set1,2dd,6,-19.6891,2.7573,1922,-7.14,<.0001,-19.6891,2.7573,0.05,-25.0968,-14.2814,-25.0968,-14.2814
set*media*pair_id,set1,2dd,7,-12.0626,2.5364,1922,-4.76,<.0001,-12.0626,2.5364,0.05,-17.0368,-7.0883,-17.0368,-7.0883
set*media*pair_id,set1,2dd,8,-6.2701,2.5715,1922,-2.44,0.0148,-6.2701,2.5715,0.05,-11.3133,-1.2269,-11.3133,-1.2269
set*media*pair_id,set1,2dd,9,-8.2811,2.4634,1922,-3.36,0.0008,-8.2811,2.4634,0.05,-13.1124,-3.4498,-13.1124,-3.4498
set*media*pair_id,set1,3dd,1,-7.0484,2.3842,1922,-2.96,0.0032,-7.0484,2.3842,0.05,-11.7243,-2.3725,-11.7243,-2.3725
set*media*pair_id,set1,3dd,2,-12.0038,2.3965,1922,-5.01,<.0001,-12.0038,2.3965,0.05,-16.7037,-7.3038,-16.7037,-7.3038
set*media*pair_id,set1,3dd,3,-20.1692,2.3714,1922,-8.51,<.0001,-20.1692,2.3714,0.05,-24.8200,-15.5185,-24.8200,-15.5185
set*media*pair_id,set1,3dd,4,-20.9720,2.5564,1922,-8.20,<.0001,-20.9720,2.5564,0.05,-25.9857,-15.9584,-25.9857,-15.9584
set*media*pair_id,set1,3dd,6,-17.0020,2.3949,1922,-7.10,<.0001,-17.0020,2.3949,0.05,-21.6989,-12.3051,-21.6989,-12.3051
set*media*pair_id,set1,3dd,7,-14.2382,2.3456,1922,-6.07,<.0001,-14.2382,2.3456,0.05,-18.8385,-9.6379,-18.8385,-9.6379
set*media*pair_id,set1,3dd,8,-12.1949,2.4791,1922,-4.92,<.0001,-12.1949,2.4791,0.05,-17.0570,-7.3328,-17.0570,-7.3328
set*media*pair_id,set1,3dd,9,-5.8699,2.3477,1922,-2.50,0.0125,-5.8699,2.3477,0.05,-10.4742,-1.2657,-10.4742,-1.2657
set*media*pair_id,set1,3dp,1,-6.2972,3.1311,1922,-2.01,0.0444,-6.2972,3.1311,0.05,-12.4379,-0.1565,-12.4379,-0.1565
set*media*pair_id,set1,3dp,2,-13.0712,2.9225,1922,-4.47,<.0001,-13.0712,2.9225,0.05,-18.8028,-7.3397,-18.8028,-7.3397
set*media*pair_id,set1,3dp,3,-13.5253,3.1957,1922,-4.23,<.0001,-13.5253,3.1957,0.05,-19.7928,-7.2578,-19.7928,-7.2578
set*media*pair_id,set1,3dp,4,-21.2986,3.4425,1922,-6.19,<.0001,-21.2986,3.4425,0.05,-28.0500,-14.5472,-28.0500,-14.5472
set*media*pair_id,set1,3dp,6,-18.8391,2.9220,1922,-6.45,<.0001,-18.8391,2.9220,0.05,-24.5698,-13.1084,-24.5698,-13.1084
set*media*pair_id,set1,3dp,7,-11.0420,2.8932,1922,-3.82,0.0001,-11.0420,2.8932,0.05,-16.7163,-5.3678,-16.7163,-5.3678
set*media*pair_id,set1,3dp,8,-14.9943,3.0630,1922,-4.90,<.0001,-14.9943,3.0630,0.05,-21.0014,-8.9872,-21.0014,-8.9872
set*media*pair_id,set1,3dp,9,-5.9356,3.0909,1922,-1.92,0.0550,-5.9356,3.0909,0.05,-11.9976,0.1264,-11.9976,0.1264
set*media*pair_id,set2,2dd,1,-6.9387,2.5699,1922,-2.70,0.0070,-6.9387,2.5699,0.05,-11.9789,-1.8986,-11.9789,-1.8986
set*media*pair_id,set2,2dd,2,-1.8587,2.6594,1922,-0.70,0.4847,-1.8587,2.6594,0.05,-7.0742,3.3569,-7.0742,3.3569
set*media*pair_id,set2,2dd,3,-13.7303,2.3836,1922,-5.76,<.0001,-13.7303,2.3836,0.05,-18.4050,-9.0555,-18.4050,-9.0555
set*media*pair_id,set2,2dd,4,-22.1073,2.7027,1922,-8.18,<.0001,-22.1073,2.7027,0.05,-27.4078,-16.8067,-27.4078,-16.8067
set*media*pair_id,set2,2dd,6,-21.7611,3.7706,1922,-5.77,<.0001,-21.7611,3.7706,0.05,-29.1559,-14.3662,-29.1559,-14.3662
set*media*pair_id,set2,2dd,7,-19.0698,2.3940,1922,-7.97,<.0001,-19.0698,2.3940,0.05,-23.7649,-14.3746,-23.7649,-14.3746
set*media*pair_id,set2,2dd,8,-15.5663,2.5236,1922,-6.17,<.0001,-15.5663,2.5236,0.05,-20.5155,-10.6171,-20.5155,-10.6171
set*media*pair_id,set2,2dd,9,-4.5958,2.4630,1922,-1.87,0.0622,-4.5958,2.4630,0.05,-9.4262,0.2347,-9.4262,0.2347
set*media*pair_id,set2,3dd,1,-8.5009,2.4627,1922,-3.45,0.0006,-8.5009,2.4627,0.05,-13.3307,-3.6711,-13.3307,-3.6711
set*media*pair_id,set2,3dd,2,-10.0309,2.5227,1922,-3.98,<.0001,-10.0309,2.5227,0.05,-14.9784,-5.0833,-14.9784,-5.0833
set*media*pair_id,set2,3dd,3,-19.3221,2.3962,1922,-8.06,<.0001,-19.3221,2.3962,0.05,-24.0216,-14.6226,-24.0216,-14.6226
set*media*pair_id,set2,3dd,4,-21.6500,2.5110,1922,-8.62,<.0001,-21.6500,2.5110,0.05,-26.5746,-16.7255,-26.5746,-16.7255
set*media*pair_id,set2,3dd,6,-18.2937,2.5377,1922,-7.21,<.0001,-18.2937,2.5377,0.05,-23.2707,-13.3168,-23.2707,-13.3168
set*media*pair_id,set2,3dd,7,-18.7888,2.2893,1922,-8.21,<.0001,-18.7888,2.2893,0.05,-23.2785,-14.2991,-23.2785,-14.2991
set*media*pair_id,set2,3dd,8,-8.6473,2.5716,1922,-3.36,0.0008,-8.6473,2.5716,0.05,-13.6907,-3.6040,-13.6907,-3.6040
set*media*pair_id,set2,3dd,9,-6.1974,2.4627,1922,-2.52,0.0119,-6.1974,2.4627,0.05,-11.0272,-1.3676,-11.0272,-1.3676
set*media*pair_id,set2,3dp,1,-13.2189,3.2714,1922,-4.04,<.0001,-13.2189,3.2714,0.05,-19.6348,-6.8030,-19.6348,-6.8030
set*media*pair_id,set2,3dp,2,-13.0770,2.9516,1922,-4.43,<.0001,-13.0770,2.9516,0.05,-18.8657,-7.2883,-18.8657,-7.2883
set*media*pair_id,set2,3dp,3,-17.7440,3.1617,1922,-5.61,<.0001,-17.7440,3.1617,0.05,-23.9447,-11.5432,-23.9447,-11.5432
set*media*pair_id,set2,3dp,4,-18.9814,3.3977,1922,-5.59,<.0001,-18.9814,3.3977,0.05,-25.6450,-12.3178,-25.6450,-12.3178
set*media*pair_id,set2,3dp,6,-17.3354,2.8247,1922,-6.14,<.0001,-17.3354,2.8247,0.05,-22.8752,-11.7956,-22.8752,-11.7956
set*media*pair_id,set2,3dp,7,-18.0163,2.8684,1922,-6.28,<.0001,-18.0163,2.8684,0.05,-23.6418,-12.3909,-23.6418,-12.3909
set*media*pair_id,set2,3dp,8,-13.6671,3.1265,1922,-4.37,<.0001,-13.6671,3.1265,0.05,-19.7988,-7.5354,-19.7988,-7.5354
set*media*pair_id,set2,3dp,9,1.7085,3.0915,1922,0.55,0.5806,1.7085,3.0915,0.05,-4.3545,7.7714,-4.3545,7.7714
