"","STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT06","WT08","WT09"
"23","US1NELA0030","WAVERLY 0.4 W, NE US","2023-03-21",NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","US1NELA0030","WAVERLY 0.4 W, NE US","2023-03-25",NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","US1NELA0030","WAVERLY 0.4 W, NE US","2023-03-26",NA,NA,NA,NA,0.07,0.5,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA
"26","US1NELA0030","WAVERLY 0.4 W, NE US","2023-03-31",NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","US1NELA0030","WAVERLY 0.4 W, NE US","2023-04-14",NA,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","US1NELA0030","WAVERLY 0.4 W, NE US","2023-04-15",NA,NA,NA,NA,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","US1NELA0030","WAVERLY 0.4 W, NE US","2023-04-16",NA,NA,NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","US1NELA0030","WAVERLY 0.4 W, NE US","2023-04-19",NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","US1NELA0030","WAVERLY 0.4 W, NE US","2023-04-20",NA,NA,NA,NA,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","US1NELA0030","WAVERLY 0.4 W, NE US","2023-04-25",NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","US1NELA0030","WAVERLY 0.4 W, NE US","2023-04-29",NA,4,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","US1NELA0030","WAVERLY 0.4 W, NE US","2023-05-03",NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","US1NELA0030","WAVERLY 0.4 W, NE US","2023-05-04",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","US1NELA0030","WAVERLY 0.4 W, NE US","2023-05-06",NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","US1NELA0030","WAVERLY 0.4 W, NE US","2023-05-08",NA,2,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","US1NELA0030","WAVERLY 0.4 W, NE US","2023-05-09",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","US1NELA0030","WAVERLY 0.4 W, NE US","2023-05-10",NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","US1NELA0030","WAVERLY 0.4 W, NE US","2023-05-11",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","US1NELA0030","WAVERLY 0.4 W, NE US","2023-05-12",NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","US1NELA0030","WAVERLY 0.4 W, NE US","2023-05-13",NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","US1NELA0030","WAVERLY 0.4 W, NE US","2023-05-19",NA,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","US1NELA0030","WAVERLY 0.4 W, NE US","2023-05-25",NA,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","US1NELA0030","WAVERLY 0.4 W, NE US","2023-05-26",NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","US1NELA0030","WAVERLY 0.4 W, NE US","2023-05-28",NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","US1NELA0030","WAVERLY 0.4 W, NE US","2023-06-01",NA,NA,NA,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","US1NELA0030","WAVERLY 0.4 W, NE US","2023-06-02",NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","US1NELA0030","WAVERLY 0.4 W, NE US","2023-06-05",NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","US1NELA0030","WAVERLY 0.4 W, NE US","2023-06-06",NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","US1NELA0030","WAVERLY 0.4 W, NE US","2023-06-07",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","US1NELA0030","WAVERLY 0.4 W, NE US","2023-06-08",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","US1NELA0030","WAVERLY 0.4 W, NE US","2023-06-09",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","US1NELA0030","WAVERLY 0.4 W, NE US","2023-06-10",NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","US1NELA0030","WAVERLY 0.4 W, NE US","2023-06-11",NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","US1NELA0030","WAVERLY 0.4 W, NE US","2023-06-12",NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","US1NELA0030","WAVERLY 0.4 W, NE US","2023-06-16",NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","US1NELA0030","WAVERLY 0.4 W, NE US","2023-06-17",NA,NA,NA,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","US1NELA0030","WAVERLY 0.4 W, NE US","2023-06-23",NA,6,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","US1NELA0030","WAVERLY 0.4 W, NE US","2023-06-24",NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","US1NELA0030","WAVERLY 0.4 W, NE US","2023-06-28",NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","US1NELA0030","WAVERLY 0.4 W, NE US","2023-06-29",NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","US1NELA0030","WAVERLY 0.4 W, NE US","2023-06-30",NA,NA,NA,NA,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","US1NELA0030","WAVERLY 0.4 W, NE US","2023-07-01",NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","US1NELA0030","WAVERLY 0.4 W, NE US","2023-07-02",NA,NA,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","US1NELA0030","WAVERLY 0.4 W, NE US","2023-07-04",NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","US1NELA0030","WAVERLY 0.4 W, NE US","2023-07-05",NA,NA,NA,NA,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","US1NELA0030","WAVERLY 0.4 W, NE US","2023-07-07",NA,NA,NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","US1NELA0030","WAVERLY 0.4 W, NE US","2023-07-08",NA,NA,NA,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","US1NELA0030","WAVERLY 0.4 W, NE US","2023-07-10",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","US1NELA0030","WAVERLY 0.4 W, NE US","2023-07-12",NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","US1NELA0030","WAVERLY 0.4 W, NE US","2023-07-13",NA,NA,NA,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","US1NELA0030","WAVERLY 0.4 W, NE US","2023-07-14",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","US1NELA0030","WAVERLY 0.4 W, NE US","2023-07-16",NA,2,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","US1NELA0030","WAVERLY 0.4 W, NE US","2023-07-17",NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","US1NELA0030","WAVERLY 0.4 W, NE US","2023-07-18",NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","US1NELA0030","WAVERLY 0.4 W, NE US","2023-07-19",NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","US1NELA0030","WAVERLY 0.4 W, NE US","2023-07-22",NA,3,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","US1NELA0030","WAVERLY 0.4 W, NE US","2023-07-24",NA,2,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","US1NELA0030","WAVERLY 0.4 W, NE US","2023-07-25",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","US1NELA0030","WAVERLY 0.4 W, NE US","2023-07-29",NA,4,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","US1NELA0030","WAVERLY 0.4 W, NE US","2023-07-30",NA,NA,NA,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","US1NELA0030","WAVERLY 0.4 W, NE US","2023-07-31",NA,NA,NA,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","US1NELA0030","WAVERLY 0.4 W, NE US","2023-08-01",NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","US1NELA0030","WAVERLY 0.4 W, NE US","2023-08-02",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","US1NELA0030","WAVERLY 0.4 W, NE US","2023-08-03",NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","US1NELA0030","WAVERLY 0.4 W, NE US","2023-08-04",NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","US1NELA0030","WAVERLY 0.4 W, NE US","2023-08-05",NA,NA,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","US1NELA0030","WAVERLY 0.4 W, NE US","2023-08-06",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","US1NELA0030","WAVERLY 0.4 W, NE US","2023-08-07",NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","US1NELA0030","WAVERLY 0.4 W, NE US","2023-08-08",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","US1NELA0030","WAVERLY 0.4 W, NE US","2023-08-09",NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","US1NELA0030","WAVERLY 0.4 W, NE US","2023-08-10",NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","US1NELA0030","WAVERLY 0.4 W, NE US","2023-08-11",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","US1NELA0030","WAVERLY 0.4 W, NE US","2023-08-12",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","US1NELA0030","WAVERLY 0.4 W, NE US","2023-08-13",NA,NA,NA,NA,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","US1NELA0030","WAVERLY 0.4 W, NE US","2023-08-14",NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","US1NELA0030","WAVERLY 0.4 W, NE US","2023-08-16",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","US1NELA0030","WAVERLY 0.4 W, NE US","2023-08-17",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","US1NELA0030","WAVERLY 0.4 W, NE US","2023-08-25",NA,8,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","US1NELA0030","WAVERLY 0.4 W, NE US","2023-08-26",NA,NA,NA,NA,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","US1NELA0030","WAVERLY 0.4 W, NE US","2023-08-27",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","US1NELA0030","WAVERLY 0.4 W, NE US","2023-08-28",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","US1NELA0030","WAVERLY 0.4 W, NE US","2023-08-29",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","US1NELA0030","WAVERLY 0.4 W, NE US","2023-09-05",NA,7,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","US1NELA0030","WAVERLY 0.4 W, NE US","2023-09-08",NA,3,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","US1NELA0030","WAVERLY 0.4 W, NE US","2023-09-17",NA,9,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","US1NELA0030","WAVERLY 0.4 W, NE US","2023-09-18",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","US1NELA0030","WAVERLY 0.4 W, NE US","2023-09-22",NA,4,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","US1NELA0030","WAVERLY 0.4 W, NE US","2023-09-23",NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","US1NELA0030","WAVERLY 0.4 W, NE US","2023-09-25",NA,2,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","US1NELA0030","WAVERLY 0.4 W, NE US","2023-10-03",NA,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","US1NELA0030","WAVERLY 0.4 W, NE US","2023-10-04",NA,NA,NA,NA,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","US1NELA0030","WAVERLY 0.4 W, NE US","2023-10-06",NA,2,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","US1NELA0030","WAVERLY 0.4 W, NE US","2023-10-10",NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","US1NELA0030","WAVERLY 0.4 W, NE US","2023-10-12",NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","US1NELA0030","WAVERLY 0.4 W, NE US","2023-10-13",NA,NA,NA,NA,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","US1NELA0030","WAVERLY 0.4 W, NE US","2023-10-22",NA,9,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","US1NELA0030","WAVERLY 0.4 W, NE US","2023-10-23",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","US1NELA0030","WAVERLY 0.4 W, NE US","2023-10-25",NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","US1NELA0030","WAVERLY 0.4 W, NE US","2023-10-26",NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","US1NELA0030","WAVERLY 0.4 W, NE US","2023-10-27",NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","US1NELA0030","WAVERLY 0.4 W, NE US","2023-10-29",NA,2,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","US1NELA0030","WAVERLY 0.4 W, NE US","2023-11-18",NA,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","US1NELA0030","WAVERLY 0.4 W, NE US","2023-11-20",NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","US1NELA0030","WAVERLY 0.4 W, NE US","2023-11-21",NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","US1NELA0030","WAVERLY 0.4 W, NE US","2023-11-24",NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","US1NELA0030","WAVERLY 0.4 W, NE US","2023-11-25",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","US1NELA0030","WAVERLY 0.4 W, NE US","2023-11-26",NA,NA,NA,NA,0.08,1.1,1.1,NA,NA,NA,NA,NA,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA
"130","US1NELA0030","WAVERLY 0.4 W, NE US","2023-11-30",NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","US1NELA0030","WAVERLY 0.4 W, NE US","2023-12-04",NA,4,0.1,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","US1NELA0030","WAVERLY 0.4 W, NE US","2023-12-14",NA,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","US1NELA0030","WAVERLY 0.4 W, NE US","2023-12-15",NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","US1NELA0030","WAVERLY 0.4 W, NE US","2023-12-16",NA,NA,NA,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","US1NELA0030","WAVERLY 0.4 W, NE US","2023-12-25",NA,9,0.88,NA,NA,NA,0.4,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","US1NELA0030","WAVERLY 0.4 W, NE US","2023-12-26",NA,NA,NA,NA,0.05,1.4,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA
